player,espn_player_id,pos,nfl_team_id,projection,full_ppr_projection,receptions,adp,tier
Dontayvion Wicks,4428850,WR,21,88.4577,108.2131,39.51,170.88,13
Ja'Kobi Lane,4870847,WR,33,84.6975,100.4642,31.53,168.33,13
Jets D/ST,-16020,DST,20,84.4525,84.4525,0.0,170.12,3
David Njoku,3123076,TE,24,84.4162,104.3523,39.87,169.66,5
Jaylin Noel,4586312,WR,34,83.8663,103.6596,39.59,171.76,13
Keaton Mitchell,4596334,RB,24,83.8637,93.8877,20.05,169.2,9
49ers D/ST,-16025,DST,25,82.9857,82.9857,0.0,168.92,3
Evan Engram,3051876,TE,7,82.9737,106.6018,47.26,170.04,5
Cooper Kupp,2977187,WR,26,82.5931,101.5192,37.85,169.15,13
Tyler Allgeier,4373626,RB,22,82.2249,91.2723,18.09,163.02,9
Jordyn Tyson,4880281,WR,18,81.9996,99.7836,35.57,167.69,13
Jaguars D/ST,-16030,DST,30,81.3832,81.3832,0.0,167.95,4
Cade Otton,4243331,TE,27,79.8352,102.1014,44.53,170.4,6
Cowboys D/ST,-16006,DST,6,78.6975,78.6975,0.0,166.78,4
Tank Dell,4366031,WR,34,78.6488,95.8947,34.49,159.32,13
Deshaun Watson,3122840,QB,5,78.6084,78.6084,0.0,170.06,6
MarShawn Lloyd,4429023,RB,9,78.2567,86.2787,16.04,164.52,9
Xavier Legette,4430034,WR,29,76.1525,94.0792,35.85,170.71,14
Jahan Dotson,4361409,WR,1,75.1832,92.7591,35.15,170.65,14
Colts D/ST,-16011,DST,11,75.157,75.157,0.0,170.15,4
Vikings D/ST,-16016,DST,16,74.3078,74.3078,0.0,168.85,4
Ty Johnson,3915411,RB,2,73.9462,84.7591,21.63,170.71,9
Bengals D/ST,-16004,DST,4,73.4695,73.4695,0.0,169.76,4
Dylan Sampson,5081397,RB,5,73.3995,88.3214,29.84,169.64,9
Darius Slayton,3916945,WR,19,72.8996,88.6494,31.5,170.56,14
Tre' Harris,4686612,WR,24,72.6152,89.8743,34.52,171.11,14
Ryan Flournoy,5083754,WR,6,72.4832,89.3781,33.79,171.05,14
Najee Harris,4241457,RB,19,72.2241,78.3071,12.17,170.13,10
Omar Cooper Jr.,4723820,WR,20,70.9618,87.3965,32.87,171.19,14
Braelon Allen,4685247,RB,20,70.2755,76.6359,12.72,170.96,10
Giants D/ST,-16019,DST,19,69.9603,69.9603,0.0,169.61,4
Mike Gesicki,3116164,TE,4,69.7151,85.8045,32.18,170.28,6
Chris Rodriguez Jr.,4362619,RB,30,69.3807,71.4413,4.12,165.06,10
Jalen Tolbert,4249417,WR,15,67.1874,83.7612,33.15,170.55,15
Zachariah Branch,4870612,WR,1,66.8129,82.5191,31.41,170.86,15
Titans D/ST,-16010,DST,10,66.7111,66.7111,0.0,169.92,5
DeMario Douglas,4427095,WR,17,66.3065,81.4109,30.21,170.33,15
Jonah Coleman,4702555,RB,7,65.7553,74.4742,17.44,169.38,10
Tyquan Thornton,4362921,WR,12,65.7391,77.6751,23.87,170.42,15
Antonio Williams,5081432,WR,28,64.8674,77.8317,25.93,170.6,15
Keon Coleman,4635008,WR,2,63.2224,75.4347,24.42,170.39,15
Michael Mayer,4429086,TE,13,62.4518,80.9717,37.04,170.29,6
Tank Bigsby,4429013,RB,21,62.3541,64.1701,3.63,169.51,10
Panthers D/ST,-16029,DST,29,62.2665,62.2665,0.0,169.83,5
Oronde Gadsden,4595342,TE,24,62.1329,77.2613,30.26,170.19,6
Colby Parkinson,4242557,TE,14,61.3497,75.348,28.0,170.29,6
Commanders D/ST,-16028,DST,28,61.3367,61.3367,0.0,169.72,5
Mike Washington Jr.,4686658,RB,13,60.9732,65.1652,8.38,162.96,10
Isaac TeSlaa,5123663,WR,8,60.9689,72.8475,23.76,170.29,16
Falcons D/ST,-16001,DST,1,60.5706,60.5706,0.0,170.09,5
Darnell Mooney,4040655,WR,19,59.5948,71.6578,24.13,170.46,16
Pat Bryant,4600981,WR,7,58.6381,72.832,28.39,170.46,16
Bills D/ST,-16002,DST,2,58.5321,58.5321,0.0,168.97,5
Marvin Mims Jr.,4686472,WR,7,57.8511,69.9131,24.12,170.17,16
KaVontae Turpin,3676833,WR,6,57.7657,66.8222,18.11,169.83,16
Darnell Washington,4430802,TE,23,57.0054,72.4968,30.98,169.76,6
Chris Bell,4869961,WR,15,56.9462,70.6384,27.38,170.52,16
Kaelon Black,4696044,RB,25,56.429,60.5043,8.15,170.42,11
Emari Demercado,4362478,RB,12,55.9926,63.8573,15.73,170.38,11
Dawson Knox,3930086,TE,2,55.7146,68.1859,24.94,169.78,7
Malachi Fields,4682648,WR,19,55.4298,68.576,26.29,170.06,17
Tory Horton,4597703,WR,26,54.6814,65.491,21.62,170.22,17
Raiders D/ST,-16013,DST,13,53.8719,53.8719,0.0,169.76,5
Ted Hurst III,5220680,WR,27,53.5444,64.9414,22.79,170.19,17
Jack Bech,4603186,WR,13,52.0737,65.9413,27.74,170.22,17
Mason Taylor,4808766,TE,20,51.9124,68.1317,32.44,170.02,7
Cardinals D/ST,-16022,DST,22,50.7297,50.7297,0.0,169.83,6
Jaydon Blue,4685279,RB,6,50.6542,55.0122,8.72,170.47,11
Savion Williams,4431487,WR,9,50.3466,60.5885,20.48,170.09,17
Theo Johnson,4429148,TE,19,49.0121,61.7271,25.43,170.16,7
Elijah Arroyo,4678006,TE,26,48.5668,60.6154,24.1,169.9,7
Andrei Iosivas,4368003,WR,4,47.9048,58.1603,20.51,170.11,17
Noah Gray,4240472,TE,12,47.8831,60.9683,26.17,169.92,7
Erick All Jr.,4427834,TE,4,47.5481,60.5177,25.94,170.04,7
Mack Hollins,2991662,WR,17,45.8702,56.6143,21.49,170.03,18
Kirk Cousins,14880,QB,13,45.8205,45.8205,0.0,169.97,6
Dolphins D/ST,-16015,DST,15,44.7144,44.7144,0.0,169.61,6
Tutu Atwell,4360797,WR,14,44.7095,55.2435,21.07,170.09,18
Isaiah Davis,4695404,RB,20,44.5054,50.9463,12.88,170.57,11
Cyrus Allen,4912218,WR,12,43.326,53.0378,19.42,169.69,18
Kyle Williams,4613202,WR,17,43.1814,51.2025,16.04,169.96,18
Cole Kmet,4258595,TE,3,42.7578,53.6002,21.68,169.73,8
Emmett Johnson,4832955,RB,12,42.412,46.6163,8.41,169.97,11
Troy Franklin,4431280,WR,7,42.2531,50.7395,16.97,170.06,18
Xavier Hutchinson,4686422,WR,34,40.4211,49.7798,18.72,170.12,18
J.J. McCarthy,4433970,QB,16,39.8343,39.8343,0.0,169.84,6
Jaylen Wright,4682745,RB,15,39.6919,43.424,7.46,170.53,11
Dyami Brown,4361577,WR,28,39.0366,46.9627,15.85,169.98,19
Kendrick Bourne,3045523,WR,22,38.9098,50.2899,22.76,170.0,19
Malik Benson,5150247,WR,13,38.6136,48.3316,19.44,169.99,19
Kalif Raymond,2973405,WR,3,38.3863,47.9728,19.17,169.97,19
George Holani,4429835,RB,26,37.4555,41.4607,8.01,170.29,12
Treylon Burks,4567156,WR,28,37.4418,44.9609,15.04,169.99,19
Devontez Walker,4696882,WR,33,36.7151,43.9587,14.49,169.96,19
Joshua Palmer,4242433,WR,2,36.325,44.7608,16.87,169.94,20
Sean Tucker,4430871,RB,27,35.9406,36.9325,1.98,170.35,12
LeQuint Allen Jr.,4911851,RB,30,35.581,46.421,21.68,170.35,12
Tyrone Tracy Jr.,4360516,RB,19,34.9156,40.8778,11.92,170.25,12
Kyle Juszczyk,16002,RB,25,34.6328,44.8431,20.42,169.95,12
Tommy Tremble,4372780,TE,29,34.4117,43.6313,18.44,169.95,8
Ray Davis,4429501,RB,2,34.2513,38.126,7.75,170.99,12
Chimere Dike,4431268,WR,10,34.1229,39.4433,10.64,169.89,20
Austin Hooper,3043275,TE,1,33.165,43.4453,20.56,169.98,8
