player,espn_player_id,pos,nfl_team_id,projection,full_ppr_projection,receptions,adp,tier
Mac Jones,4241464,QB,25,8.6219,8.6219,0.0,169.97,10
Efton Chism III,4695193,WR,17,8.3252,10.0732,3.5,169.96,25
Cade Klubnik,4685413,QB,20,8.2048,8.2048,0.0,169.98,10
Kyle Allen,3115293,QB,2,8.0602,8.0602,0.0,169.95,10
Drew Lock,3924327,QB,26,7.9841,7.9841,0.0,169.96,10
Max Klare,4833029,TE,14,7.9358,9.9468,4.02,169.98,11
CJ Daniels,4605951,WR,14,7.9267,9.6014,3.35,169.97,25
Demarcus Robinson,3043116,WR,25,7.8412,9.4806,3.28,169.97,25
Justin Joly,4912052,TE,7,7.5788,9.5863,4.01,169.97,11
Brevyn Spann-Ford,4360967,TE,6,7.5483,9.4756,3.85,169.97,12
Quinn Ewers,4889929,QB,30,7.3035,7.3035,0.0,169.97,10
Tai Felton,4565185,WR,16,7.1539,9.0117,3.72,169.97,25
Jahdae Walker,5160110,WR,3,7.0786,8.6633,3.17,169.96,25
Matthew Hibner,4432260,TE,33,6.9713,8.6374,3.33,169.98,12
Jonathan Mingo,4426485,WR,6,6.947,8.3759,2.86,169.97,26
Jawhar Jordan,4429939,RB,34,6.8997,6.8997,0.0,170.15,15
Marlin Klein,4695705,TE,34,6.8967,8.8766,3.96,169.98,12
Darius Cooper,4715355,WR,21,6.8772,8.5059,3.26,169.97,26
Sam Roush,4685504,TE,3,6.8755,8.698,3.65,169.97,12
Cedric Tillman,4369863,WR,0,5.9306,7.4317,3.0,169.99,26
Patrick Ricard,2975417,RB,19,5.4259,7.3863,3.92,169.97,16
Kaleb Johnson,4819231,RB,23,4.8486,4.8486,0.0,170.05,16
Kaden Wetjen,5081338,WR,23,4.0832,4.0832,0.0,169.95,26
Ben Skowronek,4035656,WR,23,2.9943,3.8856,1.78,169.98,26
Braxton Berrios,3123075,WR,19,2.4887,2.4887,0.0,169.96,26
Kene Nwangwu,4035537,RB,20,2.2855,2.2855,0.0,170.11,16
Myles Price,4430656,WR,16,1.9501,1.9501,0.0,169.96,27
Isaac Guerendo,4372561,RB,25,1.045,1.045,0.0,170.11,16
Brashard Smith,4596602,RB,12,0.9866,0.9866,0.0,170.08,16
Bam Knight,4427728,RB,22,0.8181,0.8181,0.0,170.09,16
Dylan Laube,4366963,RB,13,0.6657,0.6657,0.0,170.07,17
Rasheen Ali,4690013,RB,33,0.4954,0.4954,0.0,170.07,17
Skyy Moore,4430191,WR,9,0.3973,0.3973,0.0,169.97,27
Tyler Badie,4362748,RB,7,0.3532,0.3532,0.0,170.06,17
Jacob Saylors,4383429,RB,8,0.3314,0.3314,0.0,169.99,17
Josh Williams,4568024,RB,27,0.1092,0.1092,0.0,169.95,17
